

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:03:03 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,RHUM.I-1 (pct) ,PRES.I-1 (inch) ,RHENC.D-1 (pct) ,LRADT.D-1 (lang) ,
2027,2013-01-01,,    6.21,     8.1,    17.3,     0.1,     8.1,    0.00,    10.7,    10.8,    14.3,    13.8,    25.5,     9.1,     9.3,    10.7,     9.8,    13.6,     0.0,     0.1,     0.1,     0.1,     0.1,    6.88,    6.92,    8.74,    8.45,   15.89,   12.94,    3.30,     118,     2.1,      94,-99.9,-99.9,  268.36,
2027,2013-01-02,,    6.21,    18.4,    22.8,     8.1,    15.7,    0.00,    10.2,    10.6,    14.1,    13.9,    25.5,    13.7,    13.6,    13.6,    11.0,    13.5,     0.1,     0.1,     0.1,     0.1,     0.1,    6.63,    6.85,    8.62,    8.53,   15.82,   12.88,    3.30,     187,     3.3,      91,-99.9,-99.9,  237.92,
2027,2013-01-03,,    6.28,    13.5,    19.5,    12.5,    15.8,    0.07,    10.9,    10.8,    14.1,    13.7,    25.0,    12.6,    12.7,    13.9,    12.3,    13.7,     0.0,     0.1,     0.1,     0.1,     0.1,    6.97,    6.93,    8.60,    8.42,   15.51,   12.88,    3.31,     318,     4.5,      74,-99.9,-99.9,  119.70,
2027,2013-01-04,,    6.54,     5.9,    13.5,     5.8,     9.3,    0.26,    12.6,    11.5,    15.1,    13.3,    24.7,     8.3,     8.8,    11.4,    11.7,    14.1,     0.0,     0.1,     0.1,     0.1,     0.2,    7.85,    7.29,    9.15,    8.19,   15.27,   12.88,    3.30,     350,     4.4,      92,-99.9,-99.9,   51.43,
2027,2013-01-05,,    6.54,     7.0,    13.0,     2.3,     6.8,    0.00,    11.3,    11.0,    14.2,    13.7,    24.8,     8.2,     8.5,    10.8,    10.8,    14.1,     0.1,     0.1,     0.1,     0.1,     0.2,    7.15,    7.04,    8.67,    8.41,   15.33,   13.00,    3.29,       8,     3.4,      88,-99.9,-99.9,  224.47,
2027,2013-01-06,,    6.55,     9.1,    13.6,     3.1,     8.5,    0.01,    11.0,    10.8,    14.5,    13.1,    24.4,     9.8,     9.9,    11.2,    10.6,    13.8,     0.0,     0.1,     0.1,     0.1,     0.2,    7.01,    6.92,    8.85,    8.08,   15.06,   12.93,    3.30,      33,     2.7,      95,-99.9,-99.9,  234.50,
2027,2013-01-07,,    6.56,     9.2,    12.7,     8.8,    10.3,    0.01,    10.7,    10.7,    13.6,    13.2,    24.6,     9.1,     9.4,    11.3,    10.8,    13.7,     0.0,     0.1,     0.1,     0.1,     0.2,    6.87,    6.88,    8.34,    8.12,   15.20,   12.90,    3.30,     353,     3.1,      86,-99.9,-99.9,   91.88,
2027,2013-01-08,,    6.56,     9.2,    13.9,     4.2,     9.0,    0.00,     9.9,    10.2,    12.8,    13.3,    24.4,     8.8,     9.0,    10.7,    10.4,    13.6,     0.1,     0.1,     0.1,     0.1,     0.2,    6.51,    6.67,    7.94,    8.19,   15.05,   12.98,    3.30,      49,     4.9,      73,-99.9,-99.9,  223.90,
2027,2013-01-09,,    6.56,    14.5,    20.4,     8.4,    13.7,    0.00,     9.5,    10.3,    12.8,    12.9,    24.8,    12.9,    13.0,    13.5,    11.2,    13.5,     0.1,     0.1,     0.1,     0.1,     0.1,    6.32,    6.68,    7.91,    7.97,   15.36,   12.88,    3.30,      69,     4.7,      80,-99.9,-99.9,  257.18,
2027,2013-01-10,,    6.56,    18.7,    20.4,    12.2,    15.8,    0.00,     9.7,    10.1,    12.7,    12.7,    24.9,    15.0,    14.8,    14.7,    12.1,    13.6,     0.0,     0.1,     0.1,     0.1,     0.1,    6.42,    6.58,    7.88,    7.88,   15.45,   12.88,    3.31,      66,     3.9,      98,   30.06,-99.9,  125.17,
2027,2013-01-11,,    6.56,    19.9,    20.2,    17.7,    18.9,    0.00,     9.8,    10.2,    11.8,    13.0,    25.2,    16.1,    15.9,    16.1,    13.3,    13.9,     0.0,     0.1,     0.1,     0.1,     0.1,    6.45,    6.64,    7.40,    8.04,   15.60,   12.88,    3.31,     105,     5.1,      93,   30.01,-99.9,   80.59,
2027,2013-01-12,,    6.56,    15.7,    25.4,    15.7,    20.3,    0.00,     9.5,    10.0,    12.2,    12.6,    24.5,    15.3,    15.6,    16.9,    14.3,    14.4,     0.0,     0.1,     0.1,     0.1,     0.2,    6.33,    6.57,    7.65,    7.82,   15.15,   12.89,    3.31,     165,     4.0,      94,   29.98,-99.9,  197.11,
2027,2013-01-13,,    6.56,    15.8,    26.0,    13.5,    19.2,    0.00,     9.5,     9.9,    11.5,    12.8,    25.1,    15.6,    15.8,    17.1,    14.7,    14.8,     0.0,     0.1,     0.1,     0.1,     0.1,    6.33,    6.50,    7.28,    7.93,   15.55,   12.88,    3.30,     162,     2.0,      95,   29.90,-99.9,  270.86,
2027,2013-01-14,,    6.56,    18.6,    25.6,    15.1,    19.8,    0.00,     9.0,     9.6,    11.5,    12.7,    25.2,    15.9,    16.0,    17.2,    14.9,    15.1,     0.0,     0.1,     0.1,     0.1,     0.1,    6.09,    6.37,    7.26,    7.88,   15.62,   12.88,    3.30,     174,     3.3,      91,   29.92,-99.9,  221.73,
2027,2013-01-15,,    6.56,    16.8,    25.3,    16.8,    20.4,    0.00,     8.5,     9.4,    11.0,    12.1,    24.9,    16.0,    16.3,    17.7,    15.4,    15.4,     0.1,     0.1,     0.1,     0.1,     0.1,    5.88,    6.26,    7.03,    7.56,   15.42,   12.87,    3.31,     184,     2.9,      88,   29.97,-99.9,  231.65,
