

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:02:44 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMAX.D-2 (degC) ,TMIN.D-1 (degC) ,TMIN.D-2 (degC) ,TAVG.D-1 (degC) ,TAVG.D-2 (degC) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,BATT.I-3 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,PRES.I-1 (inch) ,
2027,2001-01-01,,   11.25,-99.9,    -2.2,     5.9,-99.9,    -4.8,-99.9,    -0.6,-99.9,    12.0,    12.1,    12.0,    12.3,    24.6,     4.1,     4.9,     6.3,     8.6,    12.6,     0.0,     0.0,     0.1,     0.1,     0.1,    7.53,    7.56,    7.50,    7.70,   15.17,   12.65,    3.19,-99.9,     308,     4.5,   29.95,
2027,2001-01-02,,   11.61,-99.9,    -0.4,     8.2,-99.9,    -4.3,-99.9,     1.1,-99.9,    11.9,    11.7,    12.7,    13.5,    24.5,     4.7,     5.4,     6.6,     8.4,    12.3,     0.0,     0.0,     0.0,     0.1,     0.1,    7.46,    7.38,    7.89,    8.29,   15.15,   12.67,    3.19,-99.9,     304,     2.7,   30.02,
2027,2001-01-03,,   12.33,-99.9,    -2.4,     6.7,-99.9,    -4.4,-99.9,     0.3,-99.9,    11.6,    11.0,    11.1,    11.7,    24.3,     3.9,     4.7,     6.1,     8.1,    12.0,     0.0,     0.1,     0.1,     0.1,     0.1,    7.31,    7.05,    7.09,    7.38,   15.01,   12.65,    3.19,-99.9,     357,     5.0,   30.11,
2027,2001-01-04,,   13.26,-99.9,    -3.4,     5.5,-99.9,    -6.4,-99.9,    -0.5,-99.9,    11.3,    11.0,    11.1,    11.1,    24.5,     3.2,     4.0,     5.5,     7.7,    11.8,     0.0,     0.0,     0.1,     0.1,     0.1,    7.18,    7.01,    7.06,    7.06,   15.11,   12.65,    3.19,-99.9,     307,     2.1,   29.90,
2027,2001-01-05,,   14.90,-99.9,    -1.2,    10.1,-99.9,    -4.6,-99.9,     1.5,-99.9,    10.7,    10.6,    10.6,    11.5,    24.5,     4.0,     4.8,     5.9,     7.6,    11.5,     0.1,     0.1,     0.1,     0.1,     0.1,    6.87,    6.82,    6.86,    7.26,   15.13,   12.67,    3.19,-99.9,     289,     3.3,   29.79,
2027,2001-01-06,,   15.20,-99.9,     7.6,    15.6,-99.9,    -3.0,-99.9,     5.9,-99.9,    10.5,    10.4,    11.3,    12.3,    23.9,     5.6,     6.2,     6.9,     7.8,    11.3,     0.1,     0.0,     0.0,     0.1,     0.1,    6.79,    6.73,    7.16,    7.65,   14.73,   12.73,    3.19,-99.9,     235,     3.1,   29.56,
2027,2001-01-07,,   15.20,-99.9,     0.8,    16.5,-99.9,     0.6,-99.9,     7.6,-99.9,     9.7,    10.0,    10.1,    10.8,    24.0,     6.0,     6.7,     7.5,     8.3,    11.2,     0.1,     0.1,     0.1,     0.1,     0.1,    6.40,    6.54,    6.58,    6.95,   14.77,   12.71,    3.19,-99.9,     293,     3.4,   29.62,
2027,2001-01-08,,   15.20,-99.9,    10.6,    19.2,-99.9,    -1.6,-99.9,     8.9,-99.9,    10.7,    10.0,    10.2,    12.2,    23.9,     8.2,     8.6,     8.6,     8.8,    11.2,     0.0,     0.0,     0.0,     0.1,     0.1,    6.90,    6.55,    6.63,    7.61,   14.73,   12.76,    3.19,-99.9,     190,     1.9,   29.53,
2027,2001-01-09,,   15.30,-99.9,     4.5,    15.8,-99.9,     4.3,-99.9,    12.0,-99.9,    11.2,    10.8,    10.9,    11.4,    23.9,     7.9,     8.6,     9.4,     9.8,    11.4,     0.1,     0.1,     0.1,     0.1,     0.1,    7.10,    6.93,    6.96,    7.24,   14.70,   12.71,    3.19,-99.9,     274,     6.7,   29.68,
2027,2001-01-10,,   15.30,-99.9,     0.0,     6.2,-99.9,    -1.2,-99.9,     2.2,-99.9,    10.8,    10.4,    10.1,    10.3,    24.2,     5.0,     5.7,     7.1,     9.0,    11.6,     0.1,     0.0,     0.1,     0.1,     0.1,    6.91,    6.75,    6.61,    6.68,   14.92,   12.69,    3.19,-99.9,     315,     7.8,   29.95,
2027,2001-01-11,,   15.49,-99.9,    -0.7,    11.3,-99.9,    -4.6,-99.9,     2.2,-99.9,    10.6,     9.9,     9.8,    10.6,    23.8,     5.4,     6.1,     7.1,     8.5,    11.5,     0.0,     0.1,     0.1,     0.1,     0.1,    6.81,    6.48,    6.45,    6.85,   14.66,   12.71,    3.19,-99.9,       1,     2.2,   29.92,
2027,2001-01-12,,   15.72,-99.9,    10.5,    15.5,-99.9,    -2.8,-99.9,     6.4,-99.9,    11.6,    11.1,    10.5,    11.6,    23.6,     8.4,     8.7,     8.3,     8.5,    11.3,     0.1,     0.1,     0.0,     0.1,     0.1,    7.32,    7.09,    6.78,    7.33,   14.46,   12.69,    3.19,-99.9,     103,     2.3,   29.71,
2027,2001-01-13,,   15.72,-99.9,     6.0,    12.7,-99.9,     5.7,-99.9,    10.1,-99.9,    10.9,    10.9,    11.4,    10.3,    23.8,     7.8,     8.3,     8.9,     9.4,    11.4,     0.1,     0.0,     0.0,     0.1,     0.1,    6.97,    6.98,    7.21,    6.71,   14.62,   12.60,    3.19,-99.9,     315,     8.0,   29.81,
2027,2001-01-14,,   15.72,-99.9,     9.7,    17.1,-99.9,     2.9,-99.9,     9.1,-99.9,    10.7,    10.4,    10.2,    11.9,    23.9,     8.9,     9.4,     9.6,     9.7,    11.5,     0.1,     0.1,     0.1,     0.1,     0.1,    6.86,    6.74,    6.66,    7.48,   14.68,   12.75,    3.19,-99.9,      29,     4.2,   29.84,
2027,2001-01-15,,   15.72,-99.9,     8.2,    20.3,-99.9,     5.5,-99.9,    11.9,-99.9,    10.7,    10.5,    10.5,    10.7,    23.8,    10.3,    10.9,    11.1,    10.5,    11.6,     0.0,     0.0,     0.1,     0.1,     0.1,    6.86,    6.79,    6.78,    6.87,   14.62,   12.73,    3.19,-99.9,      59,     2.1,   29.80,
