

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:02:59 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMAX.D-2 (degC) ,TMIN.D-1 (degC) ,TMIN.D-2 (degC) ,TAVG.D-1 (degC) ,TAVG.D-2 (degC) ,PRCP.D-1 (in) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,RHUM.I-1 (pct) ,PRES.I-1 (inch) ,RHENC.D-1 (pct) ,
2027,2010-01-01,,   13.20,-99.9,    10.6,    21.5,-99.9,     8.6,-99.9,    14.4,-99.9,    0.23,    12.2,    11.8,-99.9,    14.0,    25.7,    12.7,    12.9,    13.3,    12.5,    14.4,     0.0,     0.1,     0.7,     0.1,     0.1,    7.64,    7.43,   -3.46,    8.55,   16.00,   13.34,    3.32,     199,     5.2,      95,   29.73,      64,
2027,2010-01-02,,   13.20,-99.9,     4.3,    10.8,-99.9,     4.3,-99.9,     8.4,-99.9,    0.05,    11.8,    11.5,-99.9,    13.7,    25.5,     8.9,     9.3,    11.2,    12.5,    14.6,     0.1,     0.1,    45.2,     0.1,     0.1,    7.42,    7.29,   -0.03,    8.38,   15.85,   13.48,    3.32,     280,     6.8,      60,   29.80,      66,
2027,2010-01-03,,   13.20,-99.9,    -0.7,     7.4,-99.9,    -0.7,-99.9,     2.9,-99.9,    0.00,    11.4,    11.1,-99.9,    13.6,    25.3,     6.8,     7.2,     9.5,    11.5,    14.5,     0.0,     0.1,    -0.9,     0.1,     0.1,    7.23,    7.08,   11.24,    8.33,   15.74,   13.55,    3.32,     284,     7.9,      61,   29.86,      65,
2027,2010-01-04,,   13.20,-99.9,    -1.0,     6.6,-99.9,    -3.5,-99.9,     0.7,-99.9,    0.00,    11.0,    10.7,-99.9,    13.5,    25.2,     6.0,     6.3,     8.5,    10.5,    14.2,     0.0,     0.1,    -0.9,     0.1,     0.1,    7.03,    6.89,   11.32,    8.28,   15.61,   13.58,    3.31,     302,     5.4,      56,   29.77,      64,
2027,2010-01-05,,   13.20,-99.9,    -1.3,     6.4,-99.9,    -3.9,-99.9,     0.4,-99.9,    0.00,    10.8,    10.5,-99.9,    13.3,    25.0,     5.4,     5.7,     7.9,     9.9,    13.8,     0.0,     0.1,    -0.9,     0.1,     0.1,    6.92,    6.79,   11.19,    8.20,   15.50,   13.58,    3.32,     310,     6.6,      58,   29.80,      64,
2027,2010-01-06,,   13.20,-99.9,    -1.1,     5.0,-99.9,    -4.7,-99.9,    -0.3,-99.9,    0.00,    10.2,    10.3,-99.9,    13.2,    27.2,     4.5,     4.9,     7.1,     9.3,    13.5,     0.1,     0.1,    -0.9,     0.1,     0.1,    6.65,    6.67,   11.60,    8.15,   17.09,   13.60,    3.32,     302,     7.2,      47,   29.86,      63,
2027,2010-01-07,,   13.20,-99.9,    -2.1,     7.2,-99.9,    -4.9,-99.9,     0.4,-99.9,    0.00,    10.2,    10.2,-99.9,    13.3,    26.0,     4.5,     4.9,     7.0,     8.8,    13.1,     0.0,     0.1,    -0.9,     0.1,     0.1,    6.66,    6.62,   11.88,    8.17,   16.19,   13.59,    3.32,     287,     4.7,      76,   29.83,      63,
2027,2010-01-08,,   13.20,-99.9,     9.0,    13.1,-99.9,    -4.6,-99.9,     4.6,-99.9,    0.00,    10.1,    10.0,-99.9,    13.3,    25.4,     7.6,     7.7,     8.3,     8.9,    12.7,     0.0,     0.1,    -7.8,     0.1,     0.1,    6.59,    6.54,    0.26,    8.21,   15.75,   13.49,    3.32,     209,     1.8,      58,   29.65,      62,
2027,2010-01-09,,   13.30,-99.9,    -2.5,     9.0,-99.9,    -2.5,-99.9,     2.0,-99.9,    0.03,     9.9,     9.8,-99.9,    13.2,    24.9,     5.3,     5.7,     7.6,     9.3,    12.5,     0.0,     0.1,    -0.9,     0.1,     0.1,    6.50,    6.44,   11.38,    8.14,   15.45,   13.56,    3.32,     310,     9.8,      56,   29.87,      64,
2027,2010-01-10,,   13.30,-99.9,    -2.8,     2.4,-99.9,    -4.6,-99.9,    -2.1,-99.9,    0.00,     9.7,     9.7,-99.9,    13.0,    24.6,     3.9,     4.3,     6.6,     8.6,    12.4,     0.0,     0.1,     0.7,     0.1,     0.1,    6.41,    6.41,   11.89,    8.02,   15.22,   13.64,    3.32,     263,     6.5,      67,   29.96,      63,
