

Georgia (EST) SCAN Site Little River - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Nov 17 16:02:47 GMT-08:00 2022. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMAX.D-2 (degC) ,TMIN.D-1 (degC) ,TMIN.D-2 (degC) ,TAVG.D-1 (degC) ,TAVG.D-2 (degC) ,SMS.I-1:-2 (pct)  (loam),SMS.I-1:-4 (pct)  (loam),SMS.I-1:-8 (pct)  (loam),SMS.I-1:-20 (pct)  (loam),SMS.I-5:-40 (pct)  (loam),STO.I-1:-2 (degC) ,STO.I-1:-4 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,STO.I-5:-40 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-4 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,SAL.I-5:-40 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-4 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,RDC.I-5:-40 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,BATT.I-3 (volt) ,WDIRV.D-1 (degr) ,WSPDV.D-1 (mph) ,PRES.I-1 (inch) ,RHENC.D-1 (pct) ,
2027,2003-01-01,,   15.52,-99.9,    16.1,    20.5,-99.9,    12.9,-99.9,    16.3,-99.9,    16.1,    14.0,    16.4,    14.8,    24.6,    13.1,    13.3,    12.7,    12.1,    13.9,     0.0,     0.1,     0.1,     0.1,     0.1,    9.73,    8.58,    9.91,    8.97,   15.21,   13.01,    3.31,-99.9,     147,     8.1,-99.9,-99.9,
2027,2003-01-02,,   15.73,-99.9,    12.0,    16.9,-99.9,    11.9,-99.9,    14.6,-99.9,    13.7,    12.5,    15.1,    15.7,    25.4,    12.6,    13.0,    13.1,    13.0,    14.0,     0.1,     0.0,     0.1,     0.1,     0.1,    8.42,    7.80,    9.19,    9.48,   15.75,   13.05,    3.31,-99.9,     242,     5.5,-99.9,-99.9,
2027,2003-01-03,,   15.75,-99.9,    12.3,    19.4,-99.9,    11.7,-99.9,    14.6,-99.9,    12.5,    11.9,    14.1,    14.7,    25.2,    13.5,    14.0,    13.9,    13.5,    14.3,     0.1,     0.0,     0.0,     0.1,     0.1,    7.75,    7.47,    8.63,    8.94,   15.62,   13.06,    3.31,-99.9,     226,     4.7,-99.9,-99.9,
2027,2003-01-04,,   15.75,-99.9,     2.7,    12.3,-99.9,     2.7,-99.9,     6.5,-99.9,    12.0,    11.1,    12.8,    14.1,    25.2,     7.9,     8.7,    10.3,    12.5,    14.5,     0.0,     0.1,     0.1,     0.1,     0.1,    7.51,    7.07,    7.95,    8.61,   15.66,   12.99,    3.31,-99.9,     303,     9.3,-99.9,-99.9,
2027,2003-01-05,,   15.75,-99.9,     1.2,    11.6,-99.9,    -0.5,-99.9,     4.0,-99.9,    11.2,    10.8,    12.7,    13.5,    25.1,     7.4,     8.2,     9.7,    11.4,    14.3,     0.1,     0.0,     0.1,     0.1,     0.1,    7.12,    6.94,    7.88,    8.28,   15.54,   13.04,    3.31,-99.9,     296,     3.9,-99.9,-99.9,
2027,2003-01-06,,   15.75,-99.9,     8.6,    17.5,-99.9,    -0.5,-99.9,     8.0,-99.9,    10.6,    10.5,    11.9,    12.9,    24.8,     9.1,     9.8,    10.4,    11.2,    14.0,     0.1,     0.0,     0.1,     0.1,     0.1,    6.82,    6.80,    7.47,    7.96,   15.35,   13.05,    3.31,-99.9,     211,     2.1,-99.9,-99.9,
2027,2003-01-07,,   15.75,-99.9,     4.8,    14.7,-99.9,     4.2,-99.9,     9.2,-99.9,    10.4,    10.1,    11.8,    12.8,    24.7,     8.4,     9.2,    10.3,    11.3,    13.8,     0.1,     0.1,     0.1,     0.1,     0.1,    6.75,    6.59,    7.44,    7.94,   15.24,   13.04,    3.31,-99.9,     316,     7.0,-99.9,-99.9,
2027,2003-01-08,,   15.75,-99.9,     1.2,    12.1,-99.9,    -0.2,-99.9,     4.9,-99.9,     9.7,     9.8,    11.7,    12.1,    24.6,     7.1,     8.0,     9.5,    10.9,    13.7,     0.1,     0.1,     0.1,     0.1,     0.1,    6.42,    6.45,    7.39,    7.58,   15.21,   13.02,    3.31,-99.9,     316,     4.6,-99.9,-99.9,
2027,2003-01-09,,   15.75,-99.9,     9.9,    17.3,-99.9,     0.6,-99.9,     9.1,-99.9,     9.5,     9.6,    10.9,    12.0,    24.4,     8.7,     9.4,    10.1,    10.7,    13.5,     0.1,     0.1,     0.1,     0.1,     0.2,    6.29,    6.34,    6.97,    7.51,   15.07,   13.05,    3.31,-99.9,     266,     4.5,-99.9,-99.9,
2027,2003-01-10,,   15.75,-99.9,    14.9,    21.1,-99.9,     7.5,-99.9,    14.2,-99.9,     9.7,     9.4,    10.8,    12.0,    24.5,    11.8,    12.2,    11.9,    11.3,    13.3,     0.0,     0.0,     0.1,     0.1,     0.1,    6.41,    6.28,    6.94,    7.55,   15.12,   13.05,    3.31,-99.9,     246,     4.6,-99.9,-99.9,
